fine_label	utterance
unk	i need information on ground transportation from the airport in atlanta
flight	delta flights from san francisco please
flight	please list the flights from phoenix to san diego
flight	show me the flights from st. petersburg to toronto that arrive early in the morning
airfare	cheapest fare from nashville to seattle
flight_time	i would like the time of your earliest flight in the morning from philadelphia to washington on american airlines
flight	show me all flights between san francisco and philadelphia on september fifteenth with departure time after 12 pm
flight	show me all flights for tomorrow from san francisco to pittsburgh
flight	flights from miami to cleveland
flight	american flight 4400 from cincinnati to houston
flight	show me the flights available from dallas to baltimore august third
flight	what flights from chicago to denver in the morning
airline	what airline stands for hp
flight	list the flights arriving in baltimore from pittsburgh on august third
ground_service	ground transportation in phoenix
flight	find a nonstop flight between boston and washington arriving in washington around 5 pm
airline	which airlines have flights between charlotte and newark
flight	show all connecting flights from pittsburgh to oakland
flight	what is the latest evening flight leaving san francisco for washington
flight	show me flights from pittsburgh to atlanta on monday morning
flight	show me all the direct flights from atlanta to baltimore
flight	i want a flight from philadelphia to dallas that at least has one stop
airfare	i 'd like to buy a coach class ticket for a flight from denver to atlanta
flight	show me flights from denver to washington dc on a wednesday
flight	i need information on a flight from san francisco to atlanta that would stop in fort worth
flight	flights from memphis to seattle
flight	what flights are available from boston to denver
flight	i want to travel from atlanta to baltimore early in the morning first flight
flight	i would like an early morning flight from chicago into seattle on june first on continental airline
flight	show me the flights from denver to westchester county
flight	what flights do you have from newark new jersey to ontario california that connect in phoenix
